date, pm25, pm10, o3, no2, so2, co
2020/5/1, 145, 74, 38, 6, 14, 12
2020/5/2, 95, 64, 34, 7, 15, 13
2020/5/3, 98, 47, 37, 8, 12, 13
2020/5/4, 80, 82, 34, 11, 18, 15
2020/5/5, 131, 100, 36, 11, 20, 14
2020/5/6, 138, 58, 38, 9, 15, 13
2020/5/7, 82, 75, 35, 11, 16, 14
2020/5/8, 123, 80, 68, 8, 12, 13
2020/5/9, 134, 84, 39, 7, 12, 14
2020/5/10, 150, , , , , 
2020/4/1, 96, 50, 30, 7, 9, 11
2020/4/2, 80, 45, 37, 9, 9, 11
2020/4/3, 70, 54, 37, 13, 10, 11
2020/4/4, 98, 73, 38, 12, 14, 14
2020/4/5, 130, 85, 37, 13, 15, 15
2020/4/6, 141, , , , , 
2020/4/8, 71, 56, 36, 10, 10, 12
2020/4/9, 87, 69, 36, 15, 11, 14
2020/4/10, 120, 93, 38, 13, 19, 15
2020/4/11, 142, 62, 37, 9, 11, 12
2020/4/12, 92, 76, 32, 14, 12, 13
2020/4/13, 122, 84, 35, 16, 14, 14
2020/4/14, 131, 119, 38, 18, 15, 15
2020/4/15, 137, 145, 35, 17, 19, 15
2020/4/16, 154, 67, 35, 8, 11, 11
2020/4/17, 78, 73, 35, 8, 9, 12
2020/4/18, 80, 50, 36, 14, 10, 12
2020/4/19, 86, 76, 33, 15, 17, 14
2020/4/20, 112, 67, 39, 10, 12, 12
2020/4/21, 108, 71, 32, 15, 15, 14
2020/4/22, 134, 77, 37, 14, 14, 13
2020/4/23, 114, 82, 38, 14, 20, 14
2020/4/24, 132, 59, 37, 12, 8, 12
2020/4/25, 81, 84, 31, 9, 17, 13
2020/4/26, 113, 42, 36, 6, 11, 12
2020/4/27, 81, 62, 37, 8, 18, 14
2020/4/28, 114, 76, 38, 9, 15, 14
2020/4/29, 140, 77, 37, 10, 14, 13
2020/4/30, 128, 91, 33, 8, 18, 14
2020/3/1, 122, 152, 14, 25, 10, 21
2020/3/2, 205, 136, 5, 30, 11, 23
2020/3/3, 174, 121, 28, 19, 12, 15
2020/3/4, 156, 60, 25, 16, 11, 14
2020/3/5, 106, 42, 23, 17, 21, 15
2020/3/6, 81, 69, 28, 15, 16, 14
2020/3/7, 117, 147, 26, 18, 11, 21
2020/3/8, 202, 93, 28, 14, 10, 17
2020/3/9, 131, 105, 37, 14, 13, 17
2020/3/10, 168, 83, 30, 16, 11, 14
2020/3/11, 142, 122, 24, 25, 21, 10
2020/3/12, 143, 109, 31, 25, 15, 11
2020/3/13, 140, 64, 16, 24, 15, 7
2020/3/14, 112, 86, 29, 24, 15, 10
2020/3/15, 147, 97, 32, 25, 13, 11
2020/3/16, 151, 92, 37, 24, 11, 11
2020/3/17, 135, 103, 34, 25, 12, 26
2020/3/18, 129, 120, 33, 29, 15, 
2020/3/19, 172, 142, 28, 35, 20, 24
2020/3/20, 188, 118, 34, 30, 16, 9
2020/3/21, 169, 91, 32, 19, 18, 13
2020/3/22, 159, 79, 34, 18, 16, 14
2020/3/23, 137, 73, 28, 16, 15, 14
2020/3/24, 133, 55, 21, 10, 10, 12
2020/3/25, 103, 63, 14, 10, 11, 12
2020/3/26, 115, 35, 15, 8, 8, 11
2020/3/27, 67, 30, 16, 9, 8, 11
2020/3/28, 68, 44, 25, 7, 8, 11
2020/3/29, 66, 46, 30, 9, 9, 11
2020/3/30, 83, 56, 35, 9, 10, 11
2020/3/31, 98, 54, 33, 9, 12, 12
2020/2/1, 216, 120, 22, 22, 5, 15
2020/2/2, 190, 193, 7, 34, 7, 22
2020/2/3, 222, 261, 14, 34, 11, 25
2020/2/4, 278, 174, 27, 26, 9, 15
2020/2/5, 241, 130, 23, 27, 8, 15
2020/2/6, 201, 157, 29, 28, 11, 14
2020/2/7, 215, 140, 30, 24, 9, 13
2020/2/8, 211, 144, 21, 27, 8, 14
2020/2/9, 206, 183, 22, 31, 10, 19
2020/2/10, 230, 156, 18, 31, 9, 11
2020/2/11, 215, 188, 32, 28, 9, 10
2020/2/12, 230, 127, 31, 21, 8, 7
